9973276	disease	54	57	APC	Adenomatous Polyposis Coli	D011125		S1	CTD (MESH)	CUI-less
9973276	disease	129	132	APC	Adenomatous Polyposis Coli	D011125		S2	CTD (MESH)	CUI-less
9973276	disease	364	367	APC	Adenomatous Polyposis Coli	D011125		S3	CTD (MESH)	CUI-less
9973276	disease	473	476	APC	Adenomatous Polyposis Coli	D011125		S4	CTD (MESH)	CUI-less
9973276	disease	612	618	polyps	Polyps	D011127		S4	CTD (MESH)	C0032584
9973276	disease	654	657	APC	Adenomatous Polyposis Coli	D011125		S5	CTD (MESH)	CUI-less
9973276	disease	683	686	APC	Adenomatous Polyposis Coli	D011125		S6	CTD (MESH)	CUI-less
9973276	disease	701	704	was	Wiskott-Aldrich Syndrome	D014923		S6	CTD (MESH)	C0043194
9973276	disease	823	826	APC	Adenomatous Polyposis Coli	D011125		S8	CTD (MESH)	CUI-less
9973276	disease	981	984	APC	Adenomatous Polyposis Coli	D011125		S12	CTD (MESH)	CUI-less
9973276	disease	1026	1034	adenomas	Adenoma	D000236		S12	CTD (MESH)	C0001430
9973276	disease	1141	1144	APC	Adenomatous Polyposis Coli	D011125		S14	CTD (MESH)	CUI-less
